 Wave Flux Flux_err
0 3470.0 -0.597493804647908 0.5
1 3472.0 -0.5972627128764956 0.5
2 3474.0 -0.5970299951550357 0.5
3 3476.0 -0.5967956580434578 0.5
4 3478.0 -0.5965597081215434 0.5
5 3480.0 -0.5963221519886113 0.5
6 3482.0 -0.5960829962632027 0.5
7 3484.0 -0.5958422475827592 0.5
8 3486.0 -0.5955874808808089 0.5
9 3488.0 -0.5953174336072278 0.5
10 3490.0 -0.5950458127361565 0.5
11 3492.0 -0.5947726252589268 0.5
12 3494.0 -0.5944978781839346 0.5
13 3496.0 -0.5942215785363126 0.5
14 3498.0 -0.5939437333576034 0.5
15 3500.0 -0.5936643497054358 0.5
16 3502.0 -0.5933834916918607 0.5
17 3504.0 -4.375655776858552 0.5
18 3506.0 -1.7261897542661715 0.5
19 3508.0 1.4244798076271672 0.5
20 3510.0 1.1356587155241218 0.5
21 3512.0 0.5419898512962729 0.5
22 3514.0 -0.4671664657242791 0.5
23 3516.0 1.2376024093136535 0.5
24 3518.0 0.6546192569307522 0.5
25 3520.0 -0.7993372096075949 0.5
26 3522.0 0.8567200071629839 0.5
27 3524.0 0.8037803984209211 0.5
28 3526.0 0.25419669198008804 0.5
29 3528.0 -0.1268303583645957 0.5
30 3530.0 1.7531870533386795 0.5
31 3532.0 1.2426801516499824 0.5
32 3534.0 0.5177494135497548 0.5
33 3536.0 0.21162166705835048 0.5
34 3538.0 -0.32624319254164263 0.5
35 3540.0 0.8211645072380573 0.5
36 3542.0 -0.3576643034741427 0.5
37 3544.0 0.7925702130052783 0.5
38 3546.0 -0.8365514226350871 0.5
39 3548.0 0.4619256186518078 0.5
40 3550.0 0.6861562032398734 0.5
41 3552.0 1.6078317081596292 0.5
42 3554.0 -1.022309071895553 0.5
43 3556.0 0.718784689160143 0.5
44 3558.0 -0.3016248933661088 0.5
45 3560.0 0.24524156868063976 0.5
46 3562.0 0.4799809702485469 0.5
47 3564.0 1.0685923177645773 0.5
48 3566.0 -0.4416105677472799 0.5
49 3568.0 -0.058672595607236214 0.5
50 3570.0 1.0336986983091023 0.5
51 3572.0 0.4464770900043445 0.5
52 3574.0 0.222309932385374 0.5
53 3576.0 0.6768143206976321 0.5
54 3578.0 -0.09715766332577302 0.5
55 3580.0 -0.007374356364822472 0.5
56 3582.0 -0.35468853841842035 0.5
57 3584.0 -0.8626519234104347 0.5
58 3586.0 0.2940182167068605 0.5
59 3588.0 0.2542421810254765 0.5
60 3590.0 -0.4430592405888086 0.5
61 3592.0 0.6221375826336961 0.5
62 3594.0 -0.30851837761583106 0.5
63 3596.0 0.38722776990582025 0.5
64 3598.0 -0.1752198349774925 0.5
65 3600.0 0.7494897720210479 0.5
66 3602.0 -0.4600280277899721 0.5
67 3604.0 0.65882574973123 0.5
68 3606.0 0.6275455143347465 0.5
69 3608.0 -0.33685884810178185 0.5
70 3610.0 0.7486414072385137 0.5
71 3612.0 -0.7771320096205981 0.5
72 3614.0 0.5862636658288805 0.5
