ID_V2.1D ID_V4.1 RA DEC FIELD
9239 20924 189.367139 62.244453 GOODS-N
9064 20513 189.36594 62.243641 GOODS-N
7916 17690 189.390661 62.229181 GOODS-N
7428 16429 189.386333 62.222978 GOODS-N
6544 14453 189.395099 62.213037 GOODS-N
6246 13637 189.388638 62.209409 GOODS-N
7189 15771 189.356333 62.219988 GOODS-N
6015 13128 189.367045 62.207114 GOODS-N
5589 12345 189.362813 62.203018 GOODS-N
5398 11835 189.356541 62.200491 GOODS-N
5889 13088 189.33356 62.20635 GOODS-N
4739 10645 189.348909 62.19494 GOODS-N
6287 13958 189.310978 62.2106 GOODS-N
5489 12157 189.321486 62.201918 GOODS-N
5878 12980 189.306826 62.20612 GOODS-N
4741 10596 189.321327 62.194459 GOODS-N
4941 10835 189.304981 62.195989 GOODS-N
4825 10755 189.303539 62.195544 GOODS-N
6459 14283 189.260841 62.212227 GOODS-N
4239 9271 189.296643 62.18854 GOODS-N
3384 7276 189.305799 62.179056 GOODS-N
3449 7652 189.293373 62.180406 GOODS-N
4047 9122 189.273563 62.187153 GOODS-N
2959 6376 189.27836 62.173118 GOODS-N
2963 6442 189.277603 62.172809 GOODS-N
2944 6336 189.276575 62.172466 GOODS-N
3187 6989 189.262545 62.176183 GOODS-N
2794 5954 189.263072 62.170389 GOODS-N
2714 5883 189.261312 62.169659 GOODS-N
4054 9148 189.215803 62.187448 GOODS-N
2182 4750 189.255895 62.161707 GOODS-N
11748 28846 189.304564 62.28423 GOODS-N
10421 24192 189.346617 62.260673 GOODS-N
10862 25688 189.314198 62.267747 GOODS-N
9842 22370 189.332888 62.25189 GOODS-N
9795 22583 189.337933 62.253775 GOODS-N
10297 23869 189.305355 62.258837 GOODS-N
10374 24074 189.307953 62.260021 GOODS-N
10305 23685 189.304384 62.258594 GOODS-N
9372 21279 189.318961 62.246289 GOODS-N
9807 22457 189.294494 62.251995 GOODS-N
11100 26458 189.239127 62.271706 GOODS-N
10127 23344 189.26177 62.256256 GOODS-N
-9999 23418 189.264188 62.257323 GOODS-N
10166 23339 189.262381 62.256577 GOODS-N
10668 25017 189.234635 62.264527 GOODS-N
9367 21290 189.26806 62.24618 GOODS-N
8482 19082 189.27995 62.23558 GOODS-N
8067 17958 189.277659 62.23029 GOODS-N
10013 22932 189.216052 62.25437 GOODS-N
9766 22299 189.215897 62.251312 GOODS-N
9748 22144 189.203552 62.250694 GOODS-N
9436 21522 189.203758 62.24751 GOODS-N
7979 17530 189.2398 62.228946 GOODS-N
8072 17748 189.229765 62.230061 GOODS-N
8045 17714 189.229436 62.229753 GOODS-N
6459 14283 189.260841 62.212227 GOODS-N
7245 16010 189.227983 62.220786 GOODS-N
8548 19067 189.181473 62.235831 GOODS-N
8043 17709 189.188961 62.229736 GOODS-N
8304 18442 189.171059 62.232888 GOODS-N
5234 11340 189.226215 62.198642 GOODS-N
5476 11911 189.233089 62.201344 GOODS-N
7032 15509 189.171995 62.218386 GOODS-N
6347 13905 189.173849 62.210796 GOODS-N
7195 15976 189.140654 62.220373 GOODS-N
27918 41021 53.187368 -27.719188 GOODS-S
31880 46168 53.174798 -27.694863 GOODS-S
26192 38807 53.181805 -27.72992 GOODS-S
29399 42811 53.167996 -27.711349 GOODS-S
25802 38116 53.171305 -27.732946 GOODS-S
27454 40218 53.161953 -27.722657 GOODS-S
27080 39713 53.158777 -27.725004 GOODS-S
31417 45531 53.145431 -27.698008 GOODS-S
29305 42809 53.145921 -27.710523 GOODS-S
32372 46938 53.134558 -27.690656 GOODS-S
26101 38584 53.142226 -27.730667 GOODS-S
30756 44711 53.12902 -27.70217 GOODS-S
26117 38559 53.131352 -27.730795 GOODS-S
29068 42363 53.118374 -27.712934 GOODS-S
29292 42333 53.121256 -27.712377 GOODS-S
30491 44322 53.110658 -27.70385 GOODS-S
28008 41181 53.107013 -27.718224 GOODS-S
27670 40859 53.110505 -27.717713 GOODS-S
24057 35705 53.113001 -27.745551 GOODS-S
28464 41748 53.100815 -27.715987 GOODS-S
28692 41886 53.09765 -27.715282 GOODS-S
28295 41218 53.093567 -27.717725 GOODS-S
29179 42705 53.089465 -27.711547 GOODS-S
26656 39198 53.091428 -27.727428 GOODS-S
29265 42556 53.083138 -27.711987 GOODS-S
27645 40679 53.079406 -27.720873 GOODS-S
23656 35178 53.084025 -27.748237 GOODS-S
22627 33853 53.082539 -27.755253 GOODS-S
23763 32352 34.439965 -5.169341 UDS
23708 32176 34.434081 -5.169385 UDS
20075 27256 34.448085 -5.185372 UDS
26090 35270 34.406557 -5.158026 UDS
21198 28791 34.427345 -5.179993 UDS
20587 27928 34.42319 -5.182924 UDS
17937 24412 34.434024 -5.195281 UDS
23480 31902 34.397362 -5.170279 UDS
20166 27391 34.412133 -5.184343 UDS
22249 30198 34.396535 -5.175129 UDS
21581 29268 34.397523 -5.178583 UDS
20773 28213 34.394762 -5.181501 UDS
21175 28712 34.395601 -5.180897 UDS
19443 26427 34.398652 -5.187979 UDS
16373 22341 34.412924 -5.201294 UDS
18871 25642 34.39475 -5.191058 UDS
17476 23854 34.398995 -5.196855 UDS
14431 19851 34.413385 -5.21042 UDS
14153 19954 34.410489 -5.210653 UDS
18056 24519 34.384188 -5.193987 UDS
12120 16761 34.415634 -5.220016 UDS
15921 21834 34.39005 -5.203643 UDS
15678 21513 34.385549 -5.205011 UDS
14291 19708 34.389054 -5.211504 UDS
10000 13877 34.410707 -5.230256 UDS
8857 12435 34.41087 -5.234824 UDS
12057 16873 34.386297 -5.221214 UDS
10049 13932 34.389983 -5.22982 UDS
6945 9954 34.397493 -5.24284 UDS
7673 10932 34.391128 -5.240724 UDS
6055 8735 34.394016 -5.246883 UDS
7276 10403 34.379132 -5.24189 UDS
8474 11926 34.366957 -5.236786 UDS
6187 8928 34.375948 -5.24637 UDS
-9999 38426 214.607132 52.729179 AEGIS
-9999 38757 214.606476 52.729462 AEGIS
-9999 38259 214.615601 52.733833 AEGIS
-9999 38207 214.625839 52.740459 AEGIS
-9999 34946 214.61792 52.721279 AEGIS
-9999 37919 214.637207 52.744537 AEGIS
-9999 36978 214.639206 52.743904 AEGIS
-9999 30163 214.624329 52.706696 AEGIS
-9999 31250 214.637787 52.720528 AEGIS
-9999 33158 214.655838 52.738491 AEGIS
-9999 31323 214.657639 52.735439 AEGIS
-9999 28503 214.656204 52.722473 AEGIS
-9999 25896 214.655029 52.711685 AEGIS
